interest_category_id,interest_category_name,level,placements,special_industries,sub_category_ids
20109102,Healthy Lifestyle,3,,,
20110100,Office Software,3,,,
20110104,Email,3,,"HOUSING,EMPLOYMENT,CREDIT",
20111100,Parenting,3,,,
20112101,System Cleanup Software,3,,"HOUSING,EMPLOYMENT,CREDIT",
20112102,VPNs,3,,"HOUSING,EMPLOYMENT,CREDIT",
20112103,Keyboard Apps & Tools,3,,"HOUSING,EMPLOYMENT,CREDIT",
20112105,Document Management,3,,"HOUSING,EMPLOYMENT,CREDIT",
20112109,Social App Analytics,3,,,
20112110,Wallpapers,3,,,
22101100,Hats,3,,"HOUSING,EMPLOYMENT,CREDIT",
22101101,Scarves,3,,,
22101102,Gloves,3,,"HOUSING,EMPLOYMENT,CREDIT",
22101103,Belts,3,,,
22101104,Glasses & Lenses,3,,"HOUSING,EMPLOYMENT,CREDIT",
22101105,"Ties, Bowties & Tie Clips",3,,,
22101106,Face Masks,3,,"HOUSING,EMPLOYMENT,CREDIT",
22102100,Handbags,3,,,
22102101,Wallets,3,,"HOUSING,EMPLOYMENT,CREDIT",
22102102,Shoulder Bags,3,,,
22102103,Backpacks,3,,,
22102105,Travel Bags,3,,,
22102106,Makeup Bags,3,,,
22102107,Key Pouches,3,,,
22102108,"Wallets, Coin Purses & Business Card Holders",3,,,
22108100,T-shirts,3,,,
22108101,Shirts,3,,,
22108102,Polo Shirts,3,,,
22108103,Jackets,3,,,
22108104,Coats,3,,,
22108105,Pants & Jeans,3,,,
22108106,Shorts,3,,,
22108107,Underwear,3,,,
22108108,Socks,3,,,
22108109,Vests,3,,,
22108110,Sweatshirts & Hoodies,3,,,
22108112,Suits,3,,,
22109100,Sneakers,3,,,
22109101,Boots,3,,,
22109102,Sandals & Slippers,3,,,
22109103,Casual Shoes,3,,,
22109104,Loafers & Moccasins,3,,,
22110100,Coats,3,,,
22110101,Jackets,3,,,
22110102,Dresses,3,,,
22110103,Athleisure,3,,,
22110104,Shirts & Tops,3,,,
22110105,T-Shirts,3,,,
22110106,Pants,3,,,
22110107,Jeans,3,,,
22110108,Shorts,3,,,
22110109,Skirts,3,,,
22110110,Suits,3,,,
22110111,Bras,3,,,
22110112,Underwear,3,,,
22110113,Socks,3,,,
22110114,Pajamas,3,,,
22110115,Tights,3,,,
22111100,Sandals,3,,,
